total_runs,wickets,target,balls_left,won,current_run_rate,required_run_rate
29.0,0.0,147,89.0,1,5.612903225806451,9.910112359550562
29.0,0.0,147,89.0,1,5.612903225806451,9.910112359550562
29.0,0.0,147,88.0,1,5.4375,10.022727272727273
31.0,0.0,147,87.0,1,5.636363636363637,10.137931034482758
37.0,0.0,147,86.0,1,6.529411764705882,10.25581395348837
38.0,0.0,147,85.0,1,6.514285714285714,10.376470588235295
39.0,0.0,147,84.0,1,6.5,10.5
40.0,0.0,147,83.0,1,6.486486486486487,10.626506024096386
41.0,0.0,147,82.0,1,6.473684210526316,10.75609756097561
41.0,0.0,147,81.0,1,6.307692307692308,10.88888888888889
45.0,0.0,147,80.0,1,6.75,11.024999999999999
45.0,0.0,147,79.0,1,6.585365853658537,11.164556962025316
46.0,0.0,147,78.0,1,6.571428571428572,11.307692307692307
48.0,0.0,147,77.0,1,6.697674418604651,11.454545454545455
49.0,0.0,147,76.0,1,6.681818181818182,11.605263157894736
50.0,0.0,147,75.0,1,6.666666666666667,11.76
51.0,0.0,147,74.0,1,6.6521739130434785,11.91891891891892
51.0,0.0,147,73.0,1,6.51063829787234,12.082191780821919
52.0,0.0,147,72.0,1,6.5,12.25
52.0,0.0,147,71.0,1,6.36734693877551,12.422535211267604
53.0,0.0,147,71.0,1,6.4897959183673475,12.422535211267604
53.0,0.0,147,70.0,1,6.36,12.600000000000001
54.0,0.0,147,69.0,1,6.352941176470589,12.782608695652176
55.0,0.0,147,68.0,1,6.346153846153847,12.970588235294116
61.0,0.0,147,67.0,1,6.90566037735849,13.164179104477611
62.0,0.0,147,66.0,1,6.888888888888889,13.363636363636363
68.0,0.0,147,65.0,1,7.418181818181818,13.569230769230769
69.0,0.0,147,65.0,1,7.527272727272727,13.569230769230769
69.0,0.0,147,64.0,1,7.392857142857143,13.78125
70.0,0.0,147,63.0,1,7.368421052631579,14.0
74.0,0.0,147,62.0,1,7.655172413793104,14.225806451612904
80.0,0.0,147,61.0,1,8.135593220338983,14.45901639344262
81.0,0.0,147,60.0,1,8.100000000000001,14.700000000000001
82.0,0.0,147,59.0,1,8.065573770491802,14.949152542372882
83.0,0.0,147,59.0,1,8.163934426229508,14.949152542372882
83.0,0.0,147,58.0,1,8.032258064516128,15.206896551724137
85.0,0.0,147,57.0,1,8.095238095238095,15.473684210526315
86.0,0.0,147,56.0,1,8.0625,15.75
92.0,0.0,147,55.0,1,8.492307692307692,16.03636363636364
92.0,1.0,147,54.0,1,8.363636363636363,16.333333333333336
94.0,1.0,147,53.0,1,8.417910447761194,16.641509433962263
95.0,1.0,147,52.0,1,8.382352941176471,16.961538461538463
96.0,1.0,147,51.0,1,8.347826086956522,17.294117647058822
97.0,1.0,147,50.0,1,8.314285714285713,17.64
98.0,1.0,147,49.0,1,8.28169014084507,18.0
99.0,1.0,147,48.0,1,8.25,18.375
100.0,1.0,147,47.0,1,8.21917808219178,18.76595744680851
101.0,1.0,147,46.0,1,8.18918918918919,19.17391304347826
101.0,1.0,147,45.0,1,8.08,19.6
101.0,1.0,147,44.0,1,7.973684210526316,20.045454545454547
107.0,1.0,147,43.0,1,8.337662337662337,20.51162790697674
111.0,1.0,147,42.0,1,8.538461538461538,21.0
112.0,1.0,147,41.0,1,8.50632911392405,21.51219512195122
113.0,1.0,147,40.0,1,8.475000000000001,22.049999999999997
117.0,1.0,147,39.0,1,8.666666666666666,22.615384615384613
120.0,1.0,147,38.0,1,8.78048780487805,23.210526315789473
